,L,R,F,M,C,0
2087,0.392156863,0.006849315,0.118483412,0.026303138,0.433304719,1
4482,0.078431373,0.830136986,0,0.003516849,0.596510603,2
2547,0.137254902,0.049315068,0.033175355,0.014780761,0.402050234,0
2896,0.254901961,0.153424658,0.232227488,0.184495881,0.442438283,1
130,0.401960784,0.171232877,0.023696682,0.020597951,0.32510873,0
3075,0.705882353,0.168493151,0.099526066,0.063796095,0.474325822,1
4509,0.362745098,0.098630137,0.037914692,0.024233694,0.447526276,0
2733,0.009803922,0.352054795,0.009478673,0.00336694,0.476434712,2
4595,0.147058824,0.001369863,0.194312796,0.118773359,0.443130623,1
2822,0.539215686,0.032876712,0.118483412,0.067316391,0.42174289,1
224,0.470588235,0.116438356,0,0.003122259,0.167145296,2
4621,0.696078431,0.028767123,0.056872038,0.039064425,0.33095419,1
2762,0.019607843,0.25890411,0.009478673,0.010493686,0.334213523,2
3767,0.588235294,0.135616438,0.028436019,0.01901959,0.494146742,0
606,0.68627451,0.67260274,0,0.003418633,0.426200455,2
3934,0.382352941,0.176712329,0.014218009,0.018037422,0.599326778,0
3380,0.529411765,0.419178082,0,0.002364095,0.633426627,2
3731,0.754901961,0.015068493,0.165876777,0.070762593,0.492733935,1
2328,0.803921569,0.043835616,0.085308057,0.032897446,0.351533209,1
4682,0.215686275,0.005479452,0.028436019,0.008705107,0.532601365,0
3949,0.715686275,0.016438356,0.18957346,0.077542996,0.377485534,1
3704,0.784313725,0.194520548,0.018957346,0.029172102,0.315950945,0
748,0.107843137,0.7,0.047393365,0.013293725,0.34948759,0
3740,0.480392157,0.135616438,0.004739336,0.00504524,0.335158685,2
99,0.166666667,0.234246575,0.014218009,0.014844516,0.422064411,0
2691,0.862745098,0.223287671,0.018957346,0.010119773,0.530065975,0
4175,0.225490196,0.120547945,0,0.004014826,0.228869839,2
3735,0.068627451,0.053424658,0.004739336,0.009533918,0.156881242,2
4706,0.647058824,0.005479452,0.246445498,0.138611422,0.508801569,1
3523,0.254901961,0.131506849,0.009478673,0.014003643,0.327908541,0
4627,0.009803922,0.047945205,0.037914692,0.002536405,0.453072527,2
420,0.088235294,0.023287671,0.047393365,0.035046153,0.353819321,1
3789,0.137254902,0.273972603,0.033175355,0.021275129,0.443336061,0
1938,0.852941176,0.338356164,0.023696682,0.014461988,0.300714742,0
1078,0.019607843,0.489041096,0.004739336,0.004414585,0.567968883,2
57,0.156862745,0.64109589,0.014218009,0.006471968,0.449695501,2
1103,0.941176471,0.004109589,0.075829384,0.040940882,0.36443974,1
3770,0.323529412,0.631506849,0.014218009,0.006566738,0.510665335,2
2012,0.431372549,0.026027397,0.018957346,0.012442513,0.311923085,0
2635,0.12745098,0.04109589,0.075829384,0.052466705,0.486596011,1
3849,0.039215686,0.223287671,0,0.001492206,0.574774887,2
3465,0.049019608,0.160273973,0.042654028,0.030106022,0.43393263,1
3046,0.568627451,0.043835616,0.023696682,0.019481381,0.281057736,0
4352,0.68627451,0.084931507,0.099526066,0.057880689,0.38681544,1
624,0.421568627,0.217808219,0.014218009,0.018061546,0.439676551,0
3443,0.892156863,0.461643836,0.014218009,0.0115241,0.417119243,0
2969,0.264705882,0.236986301,0.028436019,0.018849003,0.428486597,0
4022,0.078431373,0.84109589,0.009478673,0.046310065,0.45013994,1
2424,0.745098039,0.183561644,0.047393365,0.026409971,0.507467858,1
3843,0.588235294,0.008219178,0.132701422,0.097282842,0.421041654,1
4738,0.362745098,0.265753425,0.004739336,0.007009575,0.43026102,2
907,0.480392157,0.008219178,0.028436019,0.020287792,0.431639186,0
4842,0.5,0.304109589,0.014218009,0.01014045,0.522311454,0
1051,0.029411765,0.253424658,0.042654028,0.019872525,0.501693074,0
308,0.617647059,0.117808219,0.056872038,0.027278414,0.499365184,1
483,0.078431373,0.832876712,0,0.008643075,0.475011644,0
9,0.803921569,0.247945205,0.042654028,0.023899412,0.368962913,0
2821,0.352941176,0.667123288,0.004739336,0.002720777,0.462359053,2
1601,0.647058824,0.584931507,0.009478673,0.007493767,0.228727136,2
3229,0.862745098,0.191780822,0.033175355,0.015683666,0.250761185,0
4465,0.401960784,0.056164384,0.085308057,0.047164723,0.383323948,1
791,0.303921569,0.105479452,0.066350711,0.045712149,0.384222969,1
1404,0.225490196,0.502739726,0.018957346,0.01526323,0.25555329,0
462,0.058823529,0.234246575,0.004739336,0.015488956,0.369493798,0
2000,0.098039216,0.720547945,0.004739336,0.004519694,0.494861647,2
2962,0.470588235,0.063013699,0.014218009,0.026506464,0.38930426,0
2989,0.156862745,0.042465753,0.023696682,0.042086744,0.349432138,1
3280,0.088235294,0.35890411,0.009478673,0.006330673,0.389768697,2
2578,0.009803922,0.024657534,0.075829384,0.032978432,0.906804259,1
3875,0.205882353,0.009589041,0.037914692,0.037125936,0.378606443,1
1753,0.078431373,0.109589041,0.018957346,0.013104184,0.329211646,0
815,0.156862745,0.005479452,0.09478673,0.081016767,0.448814162,1
1678,0.666666667,0.116438356,0.018957346,0.0147687,0.436721198,0
2176,0.764705882,0.083561644,0,0.006523661,0.523454615,2
956,0.058823529,0.01369863,0.203791469,0.100112174,0.413615018,1
2859,0.147058824,0.310958904,0.009478673,0.003087797,0.400448883,2
2389,0.5,0.176712329,0.056872038,0.016028286,0.440109401,0
4305,0.156862745,0.253424658,0.047393365,0.016934638,0.418485776,0
4386,0.764705882,0.169863014,0.018957346,0.011961768,0.436899169,0
169,0.166666667,0.130136986,0.08056872,0.037386125,0.444069093,1
1620,0.480392157,0.016438356,0.142180095,0.054274238,0.381030978,1
2056,0.196078431,0.535616438,0,0.00388387,0.32183926,2
2074,0.539215686,0.139726027,0.028436019,0.0191695,0.308068438,0
727,0.343137255,0.030136986,0.033175355,0.016571063,0.488897227,0
1376,0.107843137,0.569863014,0.061611374,0.014353432,0.533206865,0
2519,0.029411765,0.082191781,0.052132701,0.020709952,0.902875664,1
719,0.441176471,0.750684932,0.014218009,0.014527465,0.485351648,0
1553,0.029411765,0.015068493,0.208530806,0.071910178,0.539041885,1
2613,0.392156863,0.216438356,0.009478673,0.008667199,0.477050962,0
2111,0.107843137,0.55890411,0,0.006659786,0.266853254,2
681,0.117647059,0.010958904,0.033175355,0.012682024,0.443186999,0
4438,0.62745098,0.34109589,0.009478673,0.011987614,0.461930341,0
2977,0.068627451,0.065753425,0.033175355,0.028972222,0.305665825,0
32,0.656862745,0.11369863,0.018957346,0.011555116,0.326300946,0
847,0.294117647,0.546575342,0.004739336,0.00927373,0.392763238,2
4916,0.323529412,0.216438356,0.052132701,0.02789873,0.403985654,1
2585,0.039215686,0.090410959,0.009478673,0.008071006,0.60688416,0
1424,0.558823529,0.234246575,0,0.003501341,0.512457414,2
4430,0.156862745,0,0.213270142,0.057479206,0.445907923,1
3455,0.049019608,0.521917808,0,0.003459987,0.303510591,2
4422,0.098039216,0.267123288,0.018957346,0.009551149,0.462583962,0
257,0.696078431,0.006849315,0.009478673,0.015270122,0.340437199,0
3810,0.264705882,0.195890411,0.137440758,0.073028471,0.967691809,1
259,0.284313725,0.063013699,0.08056872,0.050666065,0.304546334,1
4023,0.558823529,0.016438356,0.123222749,0.07286133,0.472463505,1
4655,0.215686275,0.267123288,0.004739336,0.005998115,0.502464027,2
3538,0.333333333,0.504109589,0.009478673,0.006272088,0.66623348,0
614,0.264705882,0.194520548,0,0.010114603,0.156881242,2
4552,0.254901961,0.004109589,0.056872038,0.03776693,0.434529566,1
1701,0.156862745,0.419178082,0.004739336,0.006108393,0.274713082,2
102,0.392156863,0.026027397,0.033175355,0.022000555,0.285625628,0
2598,0.156862745,0.38630137,0.023696682,0.011639548,0.410534783,0
3637,0.539215686,0.487671233,0.018957346,0.004390462,0.624274864,2
3706,0.156862745,0.024657534,0.037914692,0.032881938,0.454301889,1
1902,0.549019608,0.302739726,0.014218009,0.005822359,0.26144906,2
1184,0.009803922,0.2,0.023696682,0.015009934,0.43020552,0
3140,0.382352941,0.25890411,0.018957346,0.012209894,0.53796018,0
2352,0.637254902,0.026027397,0.042654028,0.025781039,0.318457124,0
675,0.774509804,0.006849315,0.075829384,0.035895642,0.493699578,1
3672,0.931372549,0,0.047393365,0.014155276,0.555262746,0
673,0.323529412,0.245205479,0.018957346,0.013745177,0.223150855,2
118,0.774509804,0.330136986,0.004739336,0.004462832,0.61492694,2
457,0.147058824,0.091780822,0.037914692,0.013119692,0.549318658,0
335,0.019607843,0.005479452,0,0.001574914,0.594842063,2
1308,0.225490196,0.020547945,0.137440758,0.057077724,0.570728603,1
3839,0.107843137,0.923287671,0.004739336,0.011486192,0.370237993,0
2018,0.166666667,0.390410959,0.018957346,0.012804364,0.36988392,0
2865,0.598039216,0.149315068,0.004739336,0.007471366,0.337724106,2
1243,0.205882353,0.598630137,0.004739336,0.004412862,0.549824369,2
1187,0.441176471,0.61369863,0.033175355,0.016870883,0.497553801,0
2876,0.441176471,0.21369863,0.180094787,0.098285687,0.325779949,1
2371,0.058823529,0.01369863,0.061611374,0.040282658,0.336892448,1
344,0.431372549,0.115068493,0.052132701,0.025998149,0.439672108,1
1543,0.647058824,0.369863014,0.018957346,0.009659705,0.43817691,0
1521,0.676470588,0.801369863,0,0.001013183,0.589713902,2
3368,0.019607843,0.102739726,0.009478673,0.008887755,0.264420045,2
2059,0.490196078,0.110958904,0.052132701,0.016553832,0.402810632,0
3669,0.264705882,0.015068493,0.137440758,0.052203071,0.36513279,1
4991,0.81372549,0.145205479,0,0.009942293,0.934016793,0
2611,0.539215686,0.126027397,0.023696682,0.012818149,0.416374058,0
1469,0,0.038356164,0.066350711,0.035744009,0.442835212,1
3935,0.019607843,0.053424658,0.066350711,0.038004718,0.488083161,1
4527,0.18627451,0.046575342,0.099526066,0.039636495,0.492085307,1
4984,0.078431373,0.006849315,0.023696682,0.013746901,0.845649156,0
4316,0.235294118,0.216438356,0.018957346,0.007865957,0.244433795,2
2805,0.950980392,0.032876712,0.156398104,0.054525811,0.419587884,1
2263,0.62745098,0.708219178,0,0.006523661,0.193538579,2
3168,0.647058824,0.228767123,0.028436019,0.031784323,0.518808052,1
4162,0.578431373,0.015068493,0.251184834,0.148975875,0.321535787,1
3999,0.245098039,0.230136986,0.014218009,0.014648082,0.377119549,0
4961,0.284313725,0.435616438,0.009478673,0.012819872,0.395153934,0
1564,0.029411765,0.424657534,0,0.00840701,0.237119382,2
2236,0.598039216,0,0.151658768,0.0443733,0.454145863,1
2482,0.137254902,0.019178082,0.170616114,0.11490672,0.286528076,1
995,0.215686275,0.969863014,0,0.005848205,0.468468609,2
2292,0.12745098,0.110958904,0.009478673,0.010652211,0.386492729,0
2903,0.549019608,0.838356164,0.004739336,0.004376677,0.461132099,2
4559,0.068627451,0.184931507,0.014218009,0.012239187,0.465709618,0
4904,0.049019608,0.15890411,0.014218009,0.007728108,0.474205524,2
3338,0.058823529,0.264383562,0.052132701,0.024006245,0.264597417,0
2388,0.18627451,0.242465753,0.08056872,0.058668146,0.430081722,1
2521,0.284313725,0.94109589,0.004739336,0.004147504,0.55230493,2
3695,0.901960784,0.004109589,0.369668246,0.104163185,0.539614124,1
2817,0.235294118,0.1,0,0.006048085,0.511313644,2
3586,0.088235294,0.705479452,0.018957346,0.009578719,0.325163592,2
1003,0.078431373,0.331506849,0,0.006144579,0.45013994,2
3595,0.235294118,0.035616438,0.018957346,0.003222199,0.42081407,2
2340,0.87254902,0.149315068,0.014218009,0.01308006,0.811473788,0
1547,0.176470588,0.589041096,0,0.007409335,0.256848659,2
3127,0.823529412,0.015068493,0.023696682,0.021705905,0.239361806,0
502,0.156862745,0.379452055,0.028436019,0.012539007,0.443333998,0
2966,0.147058824,0.090410959,0.004739336,0.009813061,0.338531861,2
3392,0.598039216,0.049315068,0.28436019,0.136140495,0.45494843,1
1828,0.774509804,0.282191781,0,0.0060119,0.408958648,2
2518,0.607843137,0.008219178,0.009478673,0.006820034,0.415950152,2
448,0.333333333,0.106849315,0.033175355,0.026353108,0.360835251,0
3882,0.078431373,0.15890411,0.018957346,0.016212658,0.479282842,0
765,0.196078431,0.450684932,0.037914692,0.016686511,0.603865905,0
4716,0.225490196,0.012328767,0,0.015823237,0.336914018,0
3103,0.117647059,0.990410959,0,0.022433053,0.306673303,0
4971,0.176470588,0.48630137,0.037914692,0.022093602,0.602864023,1
3145,0.549019608,0.008219178,0.09478673,0.031227761,0.469769685,1
4461,0.294117647,0.082191781,0.014218009,0.016061025,0.518410589,0
2493,0.117647059,0.367123288,0.023696682,0.016061025,0.271399384,0
968,0.049019608,0.282191781,0.033175355,0.033431608,0.338644155,1
2455,0.715686275,0.057534247,0,0.00425606,0.490359679,2
548,0.598039216,0.289041096,0,0.001743778,0.56744342,2
1979,0.450980392,0.767123288,0.004739336,0.007878018,0.435002093,2
2245,0.18627451,0.316438356,0.028436019,0.016553832,0.433607941,0
2869,0.754901961,0.104109589,0.033175355,0.036154107,0.663205777,1
64,0.509803922,0.004109589,0.042654028,0.021304422,0.453916233,0
3591,0.166666667,0.006849315,0.137440758,0.066120558,0.417318939,1
4032,0.029411765,0.178082192,0.009478673,0.008408733,0.312836978,2
4198,0.558823529,0.208219178,0.042654028,0.027440385,0.525816091,1
4969,0.196078431,0.297260274,0.014218009,0.008737846,0.545198299,0
1256,0.960784314,0.039726027,0.099526066,0.057139756,0.375838669,1
3216,0.176470588,0.001369863,0.042654028,0.036093799,0.392441996,1
2410,0.078431373,0.18630137,0.037914692,0.015716405,0.607103189,0
764,0.696078431,0.439726027,0.009478673,0.00749549,0.533943679,0
3354,0.362745098,0.087671233,0.08056872,0.036562482,0.556325822,1
1012,0.676470588,0.221917808,0.033175355,0.021094204,0.709339583,1
71,0.274509804,0.075342466,0.113744076,0.042908664,0.490542506,1
2513,0.019607843,0.417808219,0.014218009,0.016996669,0.327750578,0
947,0.274509804,0.134246575,0.037914692,0.033217943,0.274704932,0
1019,0.303921569,0.073972603,0.085308057,0.061530217,0.34338953,1
4127,0.235294118,0.046575342,0.08056872,0.051698202,0.738850961,1
1173,0.392156863,0.991780822,0,0.001364696,0.633426627,2
861,0.254901961,0.001369863,0.071090047,0.043082697,0.340349113,1
2067,0.009803922,0.519178082,0.004739336,0.004168182,0.486797277,2
2671,0.450980392,0.019178082,0.023696682,0.019901818,0.226480355,0
2646,0.147058824,0.053424658,0.090047393,0.038771498,0.419278145,1
3643,0.137254902,0.110958904,0.009478673,0.006963052,0.429321166,2
1358,0.490196078,0.167123288,0.17535545,0.075401181,0.387516511,1
3536,0.107843137,0.626027397,0.009478673,0.000634101,0.523454615,2
131,0.656862745,0.035616438,0.037914692,0.017996068,0.487156663,0
2355,0.068627451,0.276712329,0.004739336,0.007187055,0.563324617,0
1052,0.107843137,0.669863014,0,0.002357202,0.294008401,2
106,0.431372549,0.05890411,0.052132701,0.037920286,0.365943566,1
4735,0.323529412,0.064383562,0.052132701,0.02265361,0.386889691,0
763,0.107843137,0.045205479,0.109004739,0.046882135,0.494307405,1
2847,0.107843137,0.209589041,0.004739336,0.010025002,0.444599266,0
4405,0.68627451,0.31369863,0.009478673,0.008627567,0.493999166,0
4181,0.931372549,0.121917808,0.018957346,0.016291921,0.611882278,0
1232,0.215686275,0.008219178,0.18957346,0.099005943,0.385453616,1
4844,0.264705882,0.357534247,0,0.003249769,0.346406506,2
4720,0.401960784,0.271232877,0.009478673,0.011782565,0.436233959,0
2417,0.303921569,0.045205479,0.061611374,0.024566252,0.364743007,0
2636,0.774509804,0.030136986,0.199052133,0.071108936,0.486771393,1
358,0.647058824,0.001369863,0.132701422,0.067438731,0.623913869,1
206,0.058823529,0.043835616,0.014218009,0.007585091,0.444299358,2
2308,0.117647059,0.012328767,0.037914692,0.057001907,0.302551664,1
7,0.196078431,0.010958904,0.061611374,0.047705777,0.878652114,1
3988,0.049019608,0.009589041,0.056872038,0.03942283,0.397226405,1
3052,0.166666667,0.106849315,0.042654028,0.025863748,0.442598703,1
3325,0.441176471,0.01369863,0.085308057,0.035695762,0.377170906,1
359,0.019607843,0.004109589,0.004739336,0.062596817,0.327948816,1
3363,0.12745098,0.120547945,0.009478673,0.010348945,0.420574825,0
3279,0.12745098,0.138356164,0.023696682,0.020456656,0.66139941,1
3527,0.058823529,0,0.014218009,0.011508592,0.42489335,0
3633,0.392156863,0.223287671,0,0.011727426,0.355822154,0
2902,0.225490196,0.01369863,0.17535545,0.103622131,0.332779389,1
559,0.235294118,0.276712329,0,0.002188338,0.473280164,2
1829,0.735294118,0.215068493,0.033175355,0.020546258,0.414569917,0
4952,0.833333333,0.008219178,0.388625592,0.111507041,0.318401983,1
577,0.274509804,0.475342466,0.004739336,0.003951071,0.584550177,2
2382,0.049019608,0.165753425,0.018957346,0.008444918,0.390554548,2
4610,0.049019608,0.046575342,0.061611374,0.048357109,0.375804141,1
4255,0.196078431,0.160273973,0.028436019,0.020916724,0.471047548,0
3174,0.068627451,0.338356164,0.033175355,0.024007968,0.311165543,0
3219,0.009803922,0.053424658,0.037914692,0.027228444,0.356892923,0
108,0.294117647,0.22739726,0,0.002930995,0.33957971,2
1493,0.117647059,0.934246575,0,0.003873531,0.413482603,2
3073,0.245098039,0.015068493,0.099526066,0.039615817,0.380025701,1
3517,0.921568627,0.065753425,0.033175355,0.014549866,0.384787379,0
4326,0.303921569,0.842465753,0.023696682,0.022414099,0.267667191,0
230,0.137254902,0.273972603,0,0.002203846,0.274011116,2
2545,0.803921569,0.004109589,0.374407583,0.147126987,0.438466429,1
4263,0.235294118,0.291780822,0.028436019,0.026370339,0.446518181,1
931,0.068627451,0.152054795,0.018957346,0.013636622,0.491948426,0
40,0.490196078,0.15890411,0,0.007509275,0.381783236,2
3374,0.911764706,0.024657534,0.393364929,0.208028273,0.945825046,1
4978,0.078431373,0.119178082,0.132701422,0.105850101,0.361664652,1
639,0.019607843,0.054794521,0.061611374,0.044252682,0.371305135,1
4750,0.568627451,0.734246575,0.047393365,0.020093082,0.572502736,1
2105,0.431372549,0.152054795,0.042654028,0.017449845,0.510826607,0
2173,0.558823529,0.361643836,0.014218009,0.023678855,0.230195916,0
3227,0.549019608,0.008219178,0.037914692,0.020156837,0.883896558,1
278,0.009803922,0.547945205,0,0.003980364,0.340167928,2
3758,0.284313725,0.250684932,0.056872038,0.025124537,0.480648732,1
4239,0.156862745,0.231506849,0.118483412,0.075714785,0.40472121,1
4502,0.37254902,0.483561644,0.052132701,0.019371103,0.558507996,0
4983,0.235294118,0.017808219,0.014218009,0.010915845,0.395065887,0
4896,0.088235294,0.2,0.023696682,0.011513762,0.530712248,0
1946,0.37254902,0.449315068,0.033175355,0.027695404,0.415772432,1
2174,0.049019608,0.453424658,0.014218009,0.012761287,0.497845405,0
1602,0.411764706,0.445205479,0.014218009,0.01048507,0.393191264,0
862,0.480392157,0.8,0.004739336,0.006235903,0.387141175,2
3394,0,0.321917808,0.004739336,0.018158039,0.253300862,0
857,0.205882353,0.253424658,0.018957346,0.013036983,0.477490176,0
3899,0.294117647,0.052054795,0.180094787,0.073097395,0.461246283,1
678,0.009803922,0.063013699,0.018957346,0.013793424,0.47737048,0
3085,0.029411765,0.345205479,0.004739336,0.009240991,0.327863958,2
3243,0.058823529,0.05890411,0.004739336,0.004199197,0.433033183,2
3474,0.333333333,0.208219178,0.033175355,0.017296489,0.438431151,0
4079,0.31372549,0.1,0.004739336,0.002358925,0.298622946,2
3141,0,0.509589041,0,0.013688315,0.421244503,0
3320,0.264705882,0.057534247,0.109004739,0.036119645,0.394751442,1
4415,0.068627451,0.11369863,0.004739336,0.008317409,0.598404933,0
1799,0.754901961,0.035616438,0.118483412,0.080170725,0.374460029,1
4832,0.147058824,0.128767123,0.104265403,0.041445751,0.455802531,1
1140,0.215686275,0.630136986,0,0.001319895,0.193538579,2
3138,0.578431373,0.021917808,0.071090047,0.029975067,0.451385101,1
3928,0.666666667,0.02739726,0.056872038,0.036538359,0.483974868,1
812,0.421568627,0.010958904,0.156398104,0.082016166,0.473166978,1
1760,0.215686275,0.364383562,0.037914692,0.016572786,0.465507683,0
915,0.205882353,0.205479452,0.052132701,0.031836016,0.435918978,1
1089,0.039215686,0.371232877,0.014218009,0.014041551,0.447355239,0
89,0.68627451,0.098630137,0.090047393,0.047219863,0.521027247,1
405,0.656862745,0.098630137,0.004739336,0.006668401,0.59353085,2
4670,0.225490196,0.019178082,0.004739336,0.027419708,0.413918051,1
3773,0.12745098,0.142465753,0.037914692,0.03371075,0.28425611,0
4960,0.058823529,0.464383562,0.023696682,0.02893776,0.493696427,1
1848,0.568627451,0.767123288,0,0.006523661,0.431811271,2
953,0.049019608,0.046575342,0.009478673,0.008849847,0.332836461,2
1305,0.205882353,0.009589041,0.09478673,0.038015056,0.419515129,1
4566,0.382352941,0.106849315,0,0.018046038,0.284806253,0
746,0.107843137,0.889041096,0,0.003391063,0.441414992,2
4039,0.529411765,0.115068493,0.004739336,0.007659184,0.389134758,2
2470,0.696078431,0.352054795,0.018957346,0.015504464,0.345320151,0
4253,0.803921569,0.104109589,0.156398104,0.073557463,0.449394823,1
2936,0.549019608,0.24109589,0.009478673,0.003341093,0.385383411,2
3327,0.245098039,0.016438356,0.151658768,0.03954517,0.544389448,1
4714,0.274509804,0.367123288,0.004739336,0.004685112,0.590285679,2
1689,0.705882353,0.05890411,0.023696682,0.026394463,0.248848485,0
3683,0.147058824,0.147945205,0.066350711,0.051694756,0.815512284,1
3404,0.107843137,0.94109589,0,0.003553034,0.560111952,2
4713,0.235294118,0.410958904,0.009478673,0.010381684,0.349913402,2
4209,0.117647059,0.153424658,0,0.002855179,0.269383968,2
2945,0.225490196,0.020547945,0.099526066,0.053779708,0.948135306,1
4542,0.107843137,0.068493151,0.09478673,0.064991927,0.490407572,1
904,0.029411765,0.064383562,0,0.001447405,0.549114751,2
1105,0.166666667,0.931506849,0,0.002145261,0.193538579,2
2185,0.343137255,0.149315068,0.047393365,0.036969134,0.453575715,1
2557,0.696078431,0.349315068,0.023696682,0.00734558,0.389699265,2
910,0.715686275,0.273972603,0.037914692,0.015768098,0.424488661,0
1798,0.725490196,0.110958904,0.085308057,0.039097164,0.423967256,1
3715,0.18627451,0.328767123,0.009478673,0.006063593,0.50563615,2
3782,0.245098039,0.020547945,0.023696682,0.011186372,0.485749925,0
2378,0.284313725,0.021917808,0.170616114,0.085405506,0.408428995,1
553,0.323529412,0.005479452,0.042654028,0.017944375,0.369613473,0
1618,0.107843137,0.042465753,0.037914692,0.029115239,0.385253162,1
2116,0.803921569,0.810958904,0.009478673,0.00749032,0.40861569,2
478,0.068627451,0.047945205,0.052132701,0.015938685,0.556462226,0
4258,0.284313725,0.183561644,0.028436019,0.017794465,0.458216551,0
1917,0.549019608,0.084931507,0.004739336,0.006127348,0.379269088,2
1450,0.274509804,0.006849315,0.056872038,0.060501526,0.267185939,1
4679,0.264705882,0.245205479,0.004739336,0.005763773,0.399692415,2
4560,0.12745098,0.008219178,0.161137441,0.072063534,0.362348094,1
814,0.107843137,0.030136986,0.184834123,0.117208783,0.527854031,1
2158,0.156862745,0.268493151,0,0.009160005,0.574774887,0
98,0.588235294,0.728767123,0.018957346,0.011064032,0.476284413,0
1703,0.107843137,0.090410959,0.033175355,0.007874572,0.570510818,0
2369,0,0.195890411,0.004739336,0.001907473,0.464802875,2
2374,0.352941176,0.535616438,0.004739336,0.003968302,0.567921021,2
557,0.078431373,0.552054795,0.004739336,0.010371346,0.500973514,0
4064,0.656862745,0.208219178,0.037914692,0.024922934,0.400557629,0
3389,0.068627451,0.138356164,0,0.006242795,0.272643478,2
1392,0.666666667,0.898630137,0,0.004290522,0.486797277,2
3082,0.107843137,0.726027397,0.004739336,0.007819433,0.552430798,0
2789,0.352941176,0.046575342,0.146919431,0.022744935,0.539425196,1
1193,0.039215686,0.238356164,0.018957346,0.004917731,0.53811755,2
2802,0.215686275,0.009589041,0.023696682,0.014334478,0.974790116,1
4958,0.392156863,0.032876712,0.08056872,0.045713872,0.394558106,1
4380,0.901960784,0.064383562,0.118483412,0.065026389,0.359203078,1
2618,0.68627451,0.101369863,0.047393365,0.022241789,0.482648891,0
3358,0.754901961,0.053424658,0.085308057,0.041089069,0.409539524,1
