,L,R,F,M,C
251,34,1,61,83245,1.337276713
252,31,4,48,119036,0.9347252090000001
253,90,22,26,94249,1.178456641
254,98,31,43,79426,1.3955870869999998
255,56,61,87,115134,0.962306964
256,46,1,114,124499,0.889901525
257,50,20,54,75651,1.462917873
258,52,20,68,163454,0.676618926
259,79,6,112,134757,0.82046172
260,66,13,73,163958,0.6731207379999999
261,82,38,49,80641,1.3682818909999999
262,19,2,40,127004,0.868515165
263,110,5,82,135413,0.81353969
264,63,1,154,129582,0.8481413309999999
265,101,13,58,145294,0.7557019559999999
266,68,2,52,97731,1.120337764
267,41,8,43,78765,1.388142957
268,62,4,105,138593,0.7888733920000001
269,100,4,97,116461,0.93836632
270,46,112,17,121870,0.896000164
271,49,59,32,77106,1.416159832
272,46,5,37,119320,0.9142707840000001
273,97,5,86,159612,0.682643911
274,24,13,62,139995,0.778110575
275,40,11,67,127081,0.856602875
276,94,8,84,129836,0.837625235
277,63,8,117,132853,0.8163014759999999
278,58,2,122,129272,0.837572715
279,96,24,87,131029,0.82610529
280,63,2,73,75413,1.4347562090000001
281,104,8,97,113939,0.949395993
282,49,5,93,150612,0.7180637
283,49,8,83,134621,0.8017396990000001
284,43,11,105,145865,0.7375951740000001
285,76,56,27,164336,0.654476682
286,100,31,24,110964,0.968107765
287,97,2,137,122439,0.874927107
288,19,22,57,90144,1.187537496
289,52,7,50,89115,1.201031476
290,34,8,45,139898,0.765013009
291,29,1,109,122024,0.877036239
292,52,18,46,80830,1.32374168
293,69,17,77,139876,0.763144213
294,91,5,60,154736,0.689844509
295,21,6,66,151383,0.705022823
296,85,4,77,144030,0.74088551
297,98,16,77,80208,1.3258335829999999
298,41,13,28,77108,1.3789923219999998
299,82,9,62,141413,0.751386294
300,47,34,53,73717,1.440717609
301,30,4,37,72741,1.4590118369999998
302,86,65,94,126174,0.839762709
303,82,10,48,74411,1.4236073969999998
304,44,5,52,73647,1.4306748409999999
305,35,1,52,135689,0.776371777
306,74,9,72,149171,0.705943112
307,71,13,47,76753,1.37078264
308,113,9,107,169750,0.619739087
309,33,23,96,136246,0.7718554670000001
310,38,2,168,130985,0.8006591590000001
311,28,17,49,125237,0.837061811
312,89,13,36,109695,0.9543194309999999
313,96,77,21,137610,0.7606666670000001
314,63,24,60,137654,0.760252081
315,113,33,84,117382,0.8915401
316,97,7,59,97219,1.075326325
317,96,1,118,139566,0.746258043
318,68,27,49,78417,1.327684941
319,19,4,74,113789,0.91433425
320,28,7,64,139827,0.7440065220000001
321,80,19,47,71121,1.461826465
322,90,1,46,71012,1.462023883
323,83,7,115,115562,0.8967864
324,42,13,28,72232,1.4345135119999999
325,45,351,12,100421,1.029644795
326,93,8,65,93221,1.1075239479999999
327,52,66,24,183418,0.562442563
328,68,4,50,135574,0.7601155829999999
329,84,5,98,141053,0.728867305
330,104,1,46,73338,1.3989986090000002
331,58,17,61,114031,0.899280547
332,29,84,28,82659,1.238878525
333,26,68,28,73852,1.3861765419999998
334,17,15,17,104641,0.978310605
335,95,1,51,72274,1.416135816
336,74,16,85,104969,0.974864579
337,18,14,23,157186,0.6506196479999999
338,74,2,78,121231,0.84343724
339,63,1,67,135439,0.754458243
340,105,1,96,131739,0.775295546
341,36,20,118,143796,0.7100688479999999
342,20,48,86,128754,0.792415925
343,25,5,36,124032,0.82250645
344,57,83,10,99312,1.025894957
345,91,1,34,70486,1.4433162609999999
346,93,2,23,74910,1.357742091
347,87,5,76,138952,0.7315326879999999
348,51,19,45,145724,0.696498655
349,105,18,111,145458,0.697522309
350,96,25,47,82382,1.230913428
351,99,1,84,75766,1.337146213
352,109,1,134,116627,0.8674246959999999
353,97,3,46,130782,0.7711733270000001
354,114,6,96,135009,0.746628299
355,39,94,16,107690,0.936013465
356,106,11,83,133367,0.7554607959999999
357,104,3,93,109943,0.91579564
358,33,6,13,159016,0.632307692
359,17,2,36,113253,0.886428351
360,96,11,73,123568,0.810458452
361,26,1,98,76759,1.3033094490000001
362,96,3,116,140571,0.7104835279999999
363,45,13,85,70965,1.401901923
364,83,10,48,68459,1.453157218
365,78,6,104,137698,0.7217528940000001
366,95,12,57,84129,1.179321043
367,96,9,43,130985,0.757415506
368,37,12,101,117880,0.841051069
369,78,2,69,141164,0.7021256840000001
370,78,5,71,70069,1.413737887
371,63,5,124,118049,0.837548052
372,77,18,86,89195,1.10819519
373,82,12,82,120536,0.8186665390000001
374,37,1,122,137879,0.7144708040000001
375,22,20,18,136876,0.718332944
376,111,22,39,70792,1.3874498530000001
377,45,4,83,112709,0.870657357
378,83,1,81,99888,0.982403492
379,67,34,66,111545,0.8786453000000002
380,110,41,46,71622,1.365195471
381,80,3,75,131146,0.745084105
382,111,79,69,126180,0.7741921070000001
383,55,10,45,68136,1.432941764
384,82,4,36,66829,1.4604936480000001
385,113,1,106,130691,0.7464892759999999
386,46,19,64,66612,1.464381643
387,31,6,61,132797,0.7340983609999999
388,19,1,67,123556,0.788739195
389,96,30,52,125190,0.778333174
390,36,13,21,138363,0.704172358
391,30,9,100,116315,0.8364075999999999
392,73,1,119,100147,0.9713272490000001
393,110,20,79,74503,1.305487564
394,55,4,101,118160,0.822947613
395,104,5,116,129478,0.750052132
396,36,85,42,74368,1.3036952720000001
397,109,3,82,126149,0.7679306220000001
398,103,11,96,134194,0.72174598
399,68,11,79,124218,0.779597965
400,97,4,133,143216,0.675632052
401,62,15,73,134897,0.7170868140000001
402,97,1,58,122349,0.7904340040000001
403,67,135,19,130168,0.7423071720000001
404,14,1,62,76356,1.265360941
405,77,5,46,67761,1.425841856
406,34,16,38,66550,1.450518407
407,44,23,65,112320,0.858959758
408,15,13,15,99645,0.9681668920000001
409,46,2,93,127824,0.754275019
410,77,4,60,118514,0.811934708
411,42,2,93,117159,0.82114127
412,28,15,83,134851,0.712543548
413,21,16,44,108388,0.8862730190000001
414,104,8,62,112125,0.855358305
415,41,2,89,78410,1.221743017
416,110,2,78,121245,0.789605839
417,84,26,39,70142,1.3639718
418,55,14,101,102834,0.9299381529999999
419,51,17,44,65769,1.452790676
420,55,32,31,69453,1.375394871
421,57,7,75,122158,0.781846052
422,82,18,93,106705,0.894763601
423,48,20,54,71496,1.33526505
424,103,18,73,76834,1.2420329540000001
425,109,2,70,98334,0.969874916
426,73,14,36,102876,0.9265317470000001
427,75,5,45,67936,1.4012784090000001
428,66,14,97,66431,1.4327861990000001
429,54,10,107,132823,0.715139321
430,73,8,123,111589,0.8507229209999999
431,32,29,38,67361,1.408719882
432,84,13,98,129338,0.7335678609999999
433,80,7,33,65345,1.4518301319999998
434,65,6,39,68043,1.393603751
435,42,8,72,73670,1.286411022
436,42,6,83,126476,0.7490311209999999
437,110,4,66,121756,0.7776507109999999
438,73,37,46,120983,0.78231049
439,83,5,99,123899,0.763360156
440,61,4,54,64453,1.463962112
441,85,16,65,107397,0.8783021870000001
442,95,243,27,100143,0.941445133
443,62,21,36,72186,1.302530408
444,31,20,61,71752,1.3061068679999999
445,89,32,49,65717,1.425973949
446,74,6,103,125149,0.7469010540000001
447,82,73,52,76072,1.228696235
448,18,9,36,68799,1.35804096
449,57,12,37,66530,1.4023350369999998
450,102,14,100,64900,1.4373
451,79,7,51,87589,1.06409081
452,88,12,69,125139,0.742781227
453,21,8,82,109233,0.8508076309999999
454,37,25,65,74458,1.246913025
455,86,2,118,137477,0.67473221
456,71,11,75,127816,0.7257207240000001
457,34,1,56,117444,0.789488352
458,85,6,73,128233,0.720501275
459,42,17,66,82682,1.1168940040000002
460,33,6,21,139888,0.660121097
461,69,4,78,114244,0.8077245190000001
462,70,2,90,122350,0.753979567
463,114,8,80,120362,0.766244247
464,25,85,20,121103,0.761441087
465,112,31,80,117968,0.781219907
466,111,34,95,104659,0.87833354
467,90,2,99,117708,0.7805520440000001
468,85,17,90,128188,0.716619964
469,82,1,33,63453,1.447113927
470,107,12,73,110537,0.8304361440000001
471,95,18,127,124500,0.7372848190000001
472,33,158,83,114627,0.8003160690000001
473,27,8,27,90731,1.010241814
474,48,1,97,149015,0.614937825
475,87,41,13,125853,0.72670131
476,110,1,139,129859,0.703798197
477,106,6,86,113677,0.803908618
478,107,2,82,123788,0.7376269109999999
479,95,31,41,91797,0.9943289000000001
480,53,2,72,120888,0.7550119120000001
481,109,11,82,116502,0.782969391
482,24,4,83,66764,1.36549308
483,100,14,92,103985,0.8751388179999999
484,94,25,49,98732,0.9204995340000001
485,114,10,74,126274,0.719323851
486,46,4,78,106195,0.854748717
487,79,9,49,105720,0.858548997
488,55,29,44,69154,1.311839518
489,86,13,26,103395,0.8757814209999999
490,114,2,85,124022,0.729566125
491,41,5,49,62116,1.454720362
492,104,5,69,105755,0.854199991
493,16,8,53,114734,0.7872666340000001
494,66,67,11,134552,0.6709090910000001
495,97,10,55,117957,0.76517731
496,65,34,18,124386,0.725114241
497,60,22,63,137264,0.656078433
498,51,181,23,169931,0.529890073
499,33,13,55,103869,0.8668173370000001
500,24,24,36,112436,0.7999573090000001
501,97,8,43,69158,1.299686515
502,49,2,59,78595,1.142706025
503,24,4,69,98267,0.913754872
504,31,27,77,149556,0.600361671
505,67,21,75,113205,0.793122565
506,103,14,89,98446,0.911670561
507,35,1,51,71594,1.251371344
508,82,65,15,84976,1.0531992559999999
509,96,10,51,121900,0.7337164890000001
510,107,13,63,84110,1.062971704
511,105,3,67,114895,0.77813186
512,107,58,35,102698,0.869739722
513,56,3,31,112940,0.789749247
514,28,4,63,131617,0.677294726
515,83,1,95,112565,0.7918911740000001
516,100,13,97,111809,0.7958487240000001
517,87,9,67,124788,0.712584784
518,100,2,101,119673,0.742826118
519,49,21,60,131743,0.6731966779999999
520,39,38,12,121632,0.7283333329999999
521,35,3,52,62006,1.427972616
522,98,2,92,108930,0.8101632240000001
523,89,6,47,68720,1.280616269
524,93,46,109,144111,0.61047623
525,96,12,82,135759,0.6466828720000001
526,95,21,68,107075,0.819026757
527,25,16,79,113061,0.775295725
528,23,11,74,119277,0.734588563
529,95,113,31,59830,1.463755474
530,22,8,34,87326,1.0018575220000001
531,87,3,74,126760,0.690051909
532,20,7,7,85624,1.021428571
533,61,93,36,118329,0.739067177
534,20,9,43,71368,1.224596738
535,51,36,106,128750,0.678582369
536,67,3,89,106167,0.82264602
537,48,104,62,89752,0.9725639540000001
538,23,12,51,118422,0.73627451
539,98,5,69,119146,0.731558088
540,112,1,84,90564,0.962312287
541,101,5,68,109665,0.794431222
542,85,3,20,113068,0.7694140690000001
543,39,89,27,106399,0.8167115290000001
544,78,2,64,114718,0.757229554
545,109,7,113,147384,0.589203374
546,78,2,40,60149,1.4430294769999998
547,99,2,80,138420,0.624723523
548,68,41,53,113194,0.76250826
549,55,1,109,123276,0.700098478
550,45,4,70,112890,0.764457525
551,53,9,35,62808,1.37325484
552,27,29,34,65969,1.307116221
553,63,27,88,110192,0.782405619
554,54,10,101,104916,0.821220119
555,87,15,44,123585,0.697107982
556,83,1,57,124821,0.6901963609999999
557,44,11,43,70258,1.2256450509999999
558,40,4,57,101773,0.846069291
559,78,11,82,121881,0.705870234
560,55,23,69,94964,0.9038699929999999
561,50,44,63,102801,0.833366699
562,23,230,12,84488,1.013213001
563,42,17,69,99590,0.8593490309999999
564,81,4,88,92775,0.922312153
565,25,3,59,133334,0.6414616679999999
566,97,10,40,133403,0.640861525
567,64,86,13,113580,0.752468392
568,108,11,68,119701,0.7120725809999999
569,40,3,69,119959,0.7104411509999999
570,22,4,38,63749,1.335886053
571,98,18,97,95578,0.8904420470000001
572,109,34,13,96745,0.8791565459999999
573,40,3,84,124877,0.680674344
574,73,79,33,60566,1.400179804
575,79,25,61,129994,0.652295875
576,82,17,87,114443,0.740124516
577,99,3,62,104351,0.810345085
578,77,2,79,102926,0.8209831340000001
579,73,85,58,94188,0.896582367
580,76,48,26,126699,0.666378424
581,31,2,82,120396,0.7009850000000001
582,90,7,94,110837,0.761320588
583,22,15,43,88958,0.9478419029999999
584,108,9,49,82626,1.019422095
585,80,11,32,87009,0.967861715
586,36,4,82,119037,0.706153885
587,44,22,62,101808,0.824876139
588,22,18,67,95683,0.877645872
589,57,30,81,103927,0.807743897
590,106,7,86,105952,0.7913474970000001
591,85,102,6,73392,1.141666667
592,42,69,9,91224,0.9177777779999999
593,55,4,63,102466,0.81701218
594,114,66,38,124410,0.672776465
595,45,2,40,63801,1.311356405
596,102,9,73,120191,0.695825062
597,86,15,71,107032,0.78021629
598,54,1,74,86299,0.967311788
599,23,103,45,83894,0.995006913
600,71,1,127,131400,0.635267428
601,78,4,86,130146,0.641211101
602,55,29,58,114424,0.728744669
603,34,3,69,101139,0.82410712
604,94,43,38,78846,1.056982345
605,67,19,78,115093,0.723989122
606,100,68,16,96627,0.862176721
607,85,163,37,58302,1.428155295
608,81,5,76,116724,0.7130119770000001
609,63,2,44,67601,1.230681203
610,110,3,99,87395,0.9514648440000001
611,26,14,51,61100,1.3578358430000002
612,67,5,66,114482,0.722954875
613,94,5,77,94084,0.879383317
614,82,2,106,104750,0.78942673
615,22,1,94,130742,0.632198528
616,34,27,89,109773,0.7526219559999999
617,22,37,11,101908,0.8100533809999999
618,75,17,19,114608,0.7193145329999999
619,36,18,65,110131,0.747842479
620,22,76,25,58213,1.413954787
621,102,26,51,57992,1.418412885
622,25,19,54,77707,1.057823619
623,67,46,13,118818,0.691331701
624,67,2,93,118300,0.693748774
625,47,27,31,60318,1.35912265
626,89,4,78,99566,0.8228736720000001
627,71,4,96,123933,0.661020551
628,68,20,58,99952,0.81945874
629,22,8,85,115207,0.710912445
630,95,5,65,92722,0.883145532
631,111,4,85,124859,0.65577155
632,39,88,14,79047,1.035521272
633,31,2,60,118246,0.6915089729999999
634,90,8,39,60512,1.3509103980000001
635,36,61,36,75213,1.086663476
636,109,46,17,109583,0.745799622
637,53,21,104,93309,0.875784758
638,96,15,50,125199,0.6526988229999999
639,73,12,41,108363,0.7536585370000001
640,19,195,20,77590,1.052316793
641,79,7,68,86064,0.9486224209999999
642,85,2,99,105598,0.77280422
643,40,12,98,120774,0.6753600940000001
644,113,8,89,106510,0.764573373
645,67,71,35,105725,0.7683779620000001
646,87,6,78,105745,0.767752423
647,49,4,75,119758,0.677779021
648,96,15,56,57828,1.402678633
649,27,2,29,81848,0.99101884
650,28,45,55,100558,0.8062292409999999
651,89,18,26,70104,1.156431302
652,84,5,66,94599,0.856638865
653,97,5,67,112610,0.7188581829999999
654,44,17,65,99061,0.81700528
655,44,9,76,82442,0.9812910890000001
656,83,4,38,58995,1.370945673
657,37,17,51,113913,0.7100000879999999
658,95,3,71,109398,0.738039452
659,19,9,67,64594,1.248345512
660,113,25,61,108008,0.746502852
661,69,3,44,56219,1.4340239069999998
662,55,1,120,101087,0.797076083
663,42,1,101,94342,0.853658074
664,44,8,34,58541,1.375456688
665,91,9,70,116485,0.689642615
666,22,35,31,100130,0.8012903229999999
667,26,62,44,102276,0.7843010090000001
668,46,27,43,60630,1.322550717
669,51,34,62,104969,0.762393469
670,72,26,35,57698,1.386811155
671,76,4,51,92818,0.8615744790000001
672,26,23,55,84601,0.9425804659999999
673,28,69,34,84892,0.938940654
674,62,2,58,107038,0.7446574109999999
675,89,3,83,95665,0.8329750690000001
676,100,3,39,64329,1.238633431
677,108,18,65,102141,0.7799595659999999
678,67,10,44,83527,0.953680726
679,90,1,64,124573,0.639421062
680,25,67,50,64381,1.2370464890000001
681,34,83,27,55673,1.42926697
682,111,9,40,77198,1.030612192
683,105,2,72,107745,0.7381336490000001
684,82,41,47,57158,1.391171839
685,101,1,70,112030,0.709738017
686,38,113,51,107440,0.739495067
687,95,1,52,98327,0.8075949640000001
688,21,2,57,99434,0.798412817
689,104,2,56,87321,0.908338086
690,52,13,32,60308,1.3146624
691,99,1,65,94255,0.8411298070000001
692,53,30,16,127164,0.623378315
693,73,101,44,104867,0.7555097409999999
694,38,11,96,107452,0.7372859509999999
695,14,75,37,77098,1.025352668
696,37,10,63,108377,0.729203429
697,53,21,81,116556,0.677642764
698,52,13,82,127934,0.617297044
699,85,2,38,62200,1.269493087
700,98,38,25,63767,1.238245644
701,60,70,50,58964,1.338983448
702,60,6,66,95599,0.825197125
703,68,2,75,96092,0.820139033
704,36,12,70,119084,0.661306893
705,73,3,93,67658,1.1630145729999999
706,81,2,97,98027,0.8019518090000001
707,42,20,72,100623,0.780282142
708,49,5,65,105089,0.746562628
709,103,60,45,57094,1.3739172240000002
710,71,10,27,53927,1.4536389930000002
711,61,2,81,99333,0.789152044
712,37,8,74,123708,0.633542051
713,104,2,81,96407,0.8128448140000001
714,21,63,43,87048,0.9000129809999999
715,51,2,68,87657,0.8934457029999999
716,33,3,51,105499,0.742125613
717,56,36,65,94928,0.8242233059999999
718,82,12,61,95828,0.816480465
719,104,3,34,54155,1.4419512509999999
720,104,1,106,73656,1.059797165
721,52,10,68,117406,0.664639116
722,37,5,69,59262,1.315850461
723,24,9,31,54938,1.418710546
724,48,4,85,123956,0.6286328210000001
725,114,9,85,115698,0.6731533820000001
726,21,21,44,122665,0.6342576120000001
727,110,2,82,84793,0.917503332
728,46,288,35,98033,0.7928544470000001
729,41,23,64,113219,0.6863847059999999
730,26,143,9,110088,0.705555556
731,97,105,44,128750,0.603258718
732,78,3,86,119842,0.647968909
733,96,7,45,101385,0.765687133
734,95,30,78,113329,0.6849814259999999
735,35,14,59,108263,0.71581593
736,80,1,98,99128,0.7815750340000001
737,27,12,87,104670,0.739837298
738,93,39,25,118355,0.654261755
739,38,23,48,88016,0.879216392
740,29,13,53,59280,1.304834683
741,88,12,61,102513,0.7541312809999999
742,47,2,54,87327,0.885256908
743,79,2,68,83233,0.928783415
744,49,5,80,110571,0.6987418040000001
745,82,2,70,91869,0.8396392690000001
746,44,2,61,71334,1.0811090079999999
747,101,9,59,96238,0.8011154640000001
748,25,3,71,108053,0.713502263
749,48,33,43,63261,1.218127915
750,86,12,65,81718,0.942705034
751,98,1,118,113715,0.677334828
752,43,27,31,57054,1.348767483
753,38,34,13,123460,0.623107079
754,92,11,105,100538,0.7646203429999999
755,93,108,54,97929,0.7849829979999999
756,56,4,39,53274,1.441390547
757,67,2,67,83561,0.9188581990000001
758,97,24,43,93927,0.81727746
759,75,3,78,91540,0.8383759009999999
760,107,1,77,119849,0.640188153
761,86,25,67,107438,0.71315326
762,65,1,34,52371,1.462471215
763,50,82,40,104027,0.7356240209999999
764,49,34,47,57546,1.329559135
765,93,14,49,98276,0.778446009
766,104,3,39,106909,0.71552526
767,50,8,47,102319,0.747021277
768,66,4,72,97247,0.785089206
769,72,113,30,55190,1.382804856
770,42,123,21,54220,1.4073332719999998
771,72,1,62,88473,0.862353147
772,40,3,31,95165,0.801548679
773,36,5,85,115578,0.6599335510000001
774,46,376,18,70739,1.077664372
775,97,22,41,56029,1.3586755069999998
776,78,10,88,99522,0.7644740859999999
777,53,4,43,103564,0.734484473
778,38,2,53,84028,0.904737825
